COUNTRY,TOTAL_RESERVES_USD,FOREX_USD,SDRS_USD,IMF_POS_USD,LIQUID_OBLIGATIONS_USD,DRAIN_EXPOSURE_PCT,RISK_FLAG
"United States",2896572.68,76343.58,171836.52,31325.54,279505.63,9.65,"HIGH ILLIQUIDITY RISK"
Germany,1197698.40,76501.66,54072.85,9396.73,139971.23,11.69,"HIGH ILLIQUIDITY RISK"
France,893982.02,66816.79,37404.21,7007.95,111228.96,12.44,"HIGH ILLIQUIDITY RISK"
Italy,908714.96,107641.05,29353.51,5242.54,142237.10,15.65,"HIGH ILLIQUIDITY RISK"
Austria,111603.52,10123.45,7818.96,1364.67,19307.08,17.30,"HIGH ILLIQUIDITY RISK"
"Netherlands, The",250175.34,21738.89,18589.37,3063.05,43391.31,17.34,"HIGH ILLIQUIDITY RISK"
Portugal,144810.45,21448.50,3819.75,722.73,25990.98,17.95,"HIGH ILLIQUIDITY RISK"
"Kazakhstan, Republic of",134983.99,25483.27,2019.15,268.81,27771.23,20.57,"HIGH ILLIQUIDITY RISK"
Cyprus,6115.90,602.80,582.18,115.38,1300.37,21.26,"HIGH ILLIQUIDITY RISK"
Bulgaria,18362.59,1874.04,2019.50,133.10,4026.64,21.93,"HIGH ILLIQUIDITY RISK"
Greece,49393.31,7804.37,2986.68,779.95,11571.00,23.43,"HIGH ILLIQUIDITY RISK"
Belgium,116000.08,12971.24,14776.01,2235.31,29982.55,25.85,"HIGH ILLIQUIDITY RISK"
"Türkiye, Republic of",304340.45,83286.68,7479.11,153.12,90918.91,29.87,"HIGH ILLIQUIDITY RISK"
"Belarus, Republic of",30507.48,11732.89,1393.59,0.03,13126.51,43.03,"HIGH ILLIQUIDITY RISK"
Luxembourg,6101.62,98.13,2065.74,465.22,2629.09,43.09,"HIGH ILLIQUIDITY RISK"
Zimbabwe,2844.63,1513.75,6.97,0.45,1521.16,53.47,OK
Algeria,132366.12,70925.81,4290.75,673.99,75890.55,57.33,OK
Finland,44933.21,20162.79,4781.05,847.75,25791.60,57.40,OK
Spain,258244.10,135033.45,14228.01,3286.06,152547.51,59.07,OK
"Emerging and Developing Europe",2977879.84,1737079.67,48485.87,7244.54,1792810.08,60.20,OK
"Advanced Economies",18504048.17,10497276.52,583616.61,105547.38,11186440.51,60.45,OK
"Egypt, Arab Republic of",100515.83,60248.67,547.81,370.77,61167.24,60.85,OK
"Slovenia, Republic of",6934.14,2991.98,1033.84,205.89,4231.70,61.03,OK
Ireland,27419.93,9696.89,5864.79,1201.52,16763.20,61.14,OK
Ecuador,21008.00,13118.57,6.89,38.70,13164.16,62.66,OK
Pakistan,54653.00,35186.42,118.74,0.16,35305.33,64.60,OK
Sweden,150310.74,90950.87,9445.48,1568.07,101964.41,67.84,OK
"Slovak Republic",36041.84,22377.74,1774.72,352.34,24504.80,67.99,OK
Qatar,112352.97,74943.77,1346.61,259.85,76550.23,68.13,OK
"United Kingdom",438349.21,253236.17,39234.77,7225.66,299696.60,68.37,OK
Cambodia,54910.24,37402.22,351.74,29.67,37783.63,68.81,OK
"Advanced, Emerging and Developing Economies",37989185.41,26235009.09,0.00,0.00,26235009.09,69.06,OK
"Poland, Republic of",583706.40,396710.45,5753.63,1442.23,403906.31,69.20,OK
Australia,141342.48,84075.73,14333.48,2427.60,100836.81,71.34,OK
World,37989185.41,26235009.09,896164.75,154943.12,27286116.97,71.83,OK
Kuwait,103197.95,69542.94,4419.96,683.67,74646.56,72.33,OK
Hungary,135146.72,97291.29,2194.31,408.52,99894.12,73.92,OK
"Serbia, Republic of",65439.24,49339.11,14.03,63.54,49416.68,75.52,OK
Libya,212098.34,158490.22,4486.38,553.69,163530.29,77.10,OK
"Croatia, Republic of",8309.81,4980.62,1404.27,48.12,6433.00,77.41,OK
Argentina,83780.64,65382.27,39.56,0.00,65421.83,78.09,OK
"Latvia, Republic of",12249.93,8913.85,600.44,79.20,9593.49,78.31,OK
"Middle East and Central Asia",3226126.65,2462209.83,57442.89,9192.61,2528845.34,78.39,OK
Philippines,212763.80,163886.54,3910.81,714.33,168511.69,79.20,OK
Mauritius,19669.51,15292.86,295.68,50.08,15638.62,79.51,OK
Georgia,12647.87,9595.79,466.47,0.03,10062.28,79.56,OK
India,1414183.42,1106035.22,18602.07,4808.08,1129445.37,79.87,OK
Romania,184687.86,146498.40,3715.72,0.00,150214.11,81.33,OK
"Lithuania, Republic of",14212.64,10648.15,764.59,153.53,11566.27,81.38,OK
"Emerging Market and Developing Economies",19485137.24,15737732.58,286313.16,49395.74,16073441.48,82.49,OK
"North Macedonia, Republic of",12097.01,10050.62,0.47,0.00,10051.09,83.09,OK
Malta,3211.09,2271.02,351.62,57.88,2680.52,83.48,OK
"Bahrain, Kingdom of",13352.81,10361.63,617.60,184.74,11163.98,83.61,OK
Switzerland,2142782.42,1804473.05,12797.67,2052.04,1819322.76,84.90,OK
"Sub-Saharan Africa (SSA)",491959.37,396370.54,22019.64,2288.40,420678.58,85.51,OK
Thailand,560692.29,477483.25,5673.68,1128.59,484285.52,86.37,OK
Suriname,3695.06,3134.27,97.53,2.64,3234.45,87.53,OK
"Estonia, Republic of",4577.58,3522.68,406.72,83.16,4012.56,87.66,OK
Japan,2753118.74,2358742.56,60447.14,11136.95,2430326.64,88.28,OK
"Emerging and Developing Asia",10661802.84,9288791.70,103203.00,20283.90,9412278.59,88.28,OK
Indonesia,296918.04,253881.95,7517.47,1075.49,262474.91,88.40,OK
Bangladesh,58977.90,49670.44,2349.60,181.96,52202.00,88.51,OK
Nigeria,97200.00,81803.55,4259.29,238.00,86300.85,88.79,OK
Denmark,251197.75,215321.38,6845.38,1208.94,223375.70,88.92,OK
"Saudi Arabia",1089598.63,944831.39,21001.07,3419.70,969252.16,88.95,OK
Canada,249561.95,194522.50,23412.93,4070.22,222005.65,88.96,OK
Brazil,724903.79,626695.07,19448.26,4040.86,650184.20,89.69,OK
Mexico,538003.85,463197.63,16293.80,3258.56,482749.99,89.73,OK
"China, People's Republic of",7512259.00,6693140.59,55343.15,10902.71,6759386.46,89.98,OK
"Latin America and the Caribbean (LAC)",2127368.54,1853280.84,55161.75,10386.29,1918828.88,90.20,OK
Ukraine,104223.89,93211.61,1443.15,0.33,94655.09,90.82,OK
Morocco,97903.15,86889.34,2019.12,203.57,89112.03,91.02,OK
Iceland,15149.93,13202.79,583.59,94.68,13881.05,91.62,OK
"El Salvador",9977.56,8932.10,211.42,0.00,9143.52,91.64,OK
Guatemala,66319.85,60137.97,714.92,74.19,60927.08,91.87,OK
Malaysia,253773.24,226371.53,5916.59,1268.29,233556.40,92.03,OK
"Czech Republic",348800.65,317553.40,3492.87,754.31,321800.58,92.26,OK
Singapore,888201.94,815036.71,6417.92,1396.84,822851.47,92.64,OK
Panama,9252.85,8071.70,515.99,73.80,8661.49,93.61,OK
"Comoros, Union of the",829.12,739.24,37.92,4.30,781.45,94.25,OK
"Korea, Republic of",866994.38,798552.25,15554.28,3146.16,817252.69,94.26,OK
Norway,179491.33,161947.32,7449.80,1310.55,170707.67,95.11,OK
"New Zealand",69568.65,62883.57,2903.32,434.78,66221.67,95.19,OK
Samoa,1174.23,1075.84,41.10,2.50,1119.44,95.33,OK
"United Arab Emirates",554549.96,524643.59,3253.46,787.05,528684.09,95.34,OK
Tonga,793.09,732.23,25.73,4.66,762.62,96.16,OK
Nicaragua,18890.87,18060.91,370.35,44.08,18475.34,97.80,OK
"Costa Rica",38519.58,37143.39,590.41,96.77,37830.57,98.21,OK
Angola,25570.73,24707.04,277.28,154.00,25138.31,98.31,OK
Israel,457148.99,447989.34,3915.66,658.08,452563.08,99.00,OK
Maldives,2667.29,2635.08,0.35,6.52,2641.94,99.05,OK
"Dominican Republic",32332.28,31920.08,33.86,87.66,32041.59,99.10,OK
Kenya,27530.35,27262.24,113.12,18.17,27393.54,99.50,OK
"Moldova, Republic of",12118.95,12095.72,0.61,0.01,12096.34,99.81,OK
Guyana,2573.45,2568.58,2.43,0.00,2571.01,99.91,OK
"Armenia, Republic of",11099.37,11095.85,1.56,0.20,11097.61,99.98,OK
"Macao Special Administrative Region, People's Republic of China",60081.91,60081.91,0.00,0.00,60081.91,100.00,OK
