COUNTRY,GOLD_PERCENTAGE_2026,GOLD_PERCENTAGE_2025,GOLD_PERCENTAGE_2024,GOLD_PERCENTAGE_2023,GOLD_PERCENTAGE_2022,GOLD_PERCENTAGE_2021,GOLD_PERCENTAGE_2020,GOLD_PERCENTAGE_2019
"United States",41.71,39.27,36.14,34.53,33.80,37.98,39.06,37.01
Germany,41.56,39.04,35.75,34.27,33.59,36.36,37.07,34.79
France,40.50,37.81,34.76,33.67,29.93,31.48,31.64,30.11
Italy,40.08,37.51,34.23,32.86,32.22,33.77,34.66,32.73
Portugal,39.26,42.49,37.12,35.26,37.49,38.09,36.45,28.69
"Kazakhstan, Republic of",38.92,29.42,29.55,29.33,34.19,31.39,33.00,27.51
Austria,37.27,34.55,31.41,25.18,24.43,26.88,27.90,24.64
"Netherlands, The",36.37,34.69,30.64,28.98,28.63,32.73,35.18,32.82
Greece,34.51,34.14,29.43,27.78,24.30,28.50,31.64,31.93
"Türkiye, Republic of",33.85,24.71,22.42,21.43,19.81,21.96,16.91,10.64
Cyprus,33.70,30.35,26.43,25.19,25.92,32.74,32.48,30.63
Bulgaria,33.20,4.85,3.54,3.15,3.45,3.23,3.63,2.96
Belgium,29.12,24.79,19.27,16.66,16.43,19.56,19.76,17.35
"Belarus, Republic of",26.23,27.10,23.35,21.25,21.85,19.19,16.39,13.38
Zimbabwe,23.16,23.23,20.10,5.90,0.14,0.71,0.89,0.23
Algeria,19.48,10.76,7.64,7.12,9.40,8.48,6.55,4.38
"Egypt, Arab Republic of",19.14,14.20,11.93,12.38,10.96,5.46,5.23,3.74
"Emerging and Developing Europe",18.93,15.18,11.57,10.58,10.04,9.26,9.21,7.23
Ecuador,18.58,17.21,17.89,13.20,11.34,14.40,23.90,10.22
"Advanced Economies",17.88,14.35,11.21,10.31,9.36,8.66,9.22,7.78
Pakistan,17.61,17.84,16.83,21.94,11.41,9.26,10.08,8.84
Spain,16.20,12.68,9.77,9.21,9.47,9.59,9.75,8.11
Cambodia,15.27,11.08,7.70,7.51,7.67,6.63,4.98,4.10
Qatar,15.24,10.58,7.13,6.02,3.76,3.68,2.73,2.30
"Poland, Republic of",14.80,10.60,6.39,4.30,4.48,3.84,4.88,2.35
Finland,14.47,11.35,10.30,9.42,9.12,10.01,11.37,9.56
World,14.01,10.81,8.22,7.52,7.03,6.38,6.55,5.31
"Slovak Republic",13.06,10.46,9.14,9.75,9.98,9.26,11.10,11.31
"Advanced, Emerging and Developing Economies",12.82,9.93,7.54,6.89,6.38,5.76,5.94,4.83
Sweden,12.43,9.63,7.40,6.36,6.55,6.15,5.85,4.18
"Serbia, Republic of",12.20,8.05,5.46,5.28,7.33,5.74,5.54,3.32
Hungary,12.09,11.30,6.82,6.98,7.10,6.69,2.88,2.11
Kuwait,11.37,7.44,5.36,4.60,4.85,4.33,4.69,3.97
Argentina,10.95,12.44,8.21,5.06,4.43,4.17,3.37,1.71
"United Kingdom",10.52,8.54,6.37,5.73,5.04,4.83,4.71,3.92
Libya,10.27,7.72,5.69,4.22,4.52,3.97,3.64,2.82
"Middle East and Central Asia",10.11,8.07,6.28,5.93,5.84,5.26,4.81,3.74
Mauritius,9.38,7.16,6.21,5.98,4.73,4.52,4.57,3.91
Philippines,9.32,6.05,5.06,5.03,4.36,4.19,5.61,4.88
India,9.25,6.57,4.55,4.35,3.85,3.19,3.50,3.04
"Slovenia, Republic of",9.06,5.81,4.37,4.30,4.24,6.53,7.61,6.80
"North Macedonia, Republic of",8.47,6.76,5.37,4.87,5.85,3.97,5.35,4.41
Australia,8.40,5.88,5.21,4.12,3.62,3.60,2.94,2.62
Georgia,8.38,8.39,3.52,0.00,0.00,0.00,0.00,0.00
Romania,8.34,6.78,4.87,5.14,6.28,5.80,6.25,5.31
