COUNTRY,RESERVES_2026_M04,RESERVES_2026_M03,ABS_CHANGE_USD,MOM_CHANGE_PCT
Panama,11761.43,9252.85,2508.58,27.11
Angola,28364.30,25570.73,2793.57,10.92
"Costa Rica",41767.98,38519.58,3248.40,8.43
"El Salvador",10386.24,9977.56,408.68,4.10
"Armenia, Republic of",11397.21,11099.37,297.84,2.68
Norway,182839.73,179491.33,3348.40,1.87
"Moldova, Republic of",12122.11,12118.95,3.16,0.03
Canada,248030.05,249561.95,-1531.90,-0.61
Malaysia,245778.15,253773.24,-7995.09,-3.15
Iceland,14613.97,15149.93,-535.96,-3.54
"Czech Republic",331933.00,348800.65,-16867.65,-4.84
Brazil,679666.35,724903.79,-45237.44,-6.24
Mexico,501316.68,538003.85,-36687.17,-6.82
"China, People's Republic of",6924575.80,7512259.00,-587683.20,-7.82
Japan,2504096.75,2753118.74,-249021.99,-9.05
Guatemala,60109.83,66319.85,-6210.02,-9.36
"New Zealand",62404.60,69568.65,-7164.05,-10.30
Thailand,501939.66,560692.29,-58752.63,-10.48
Georgia,10773.89,12647.87,-1873.98,-14.82
Ukraine,88015.58,104223.89,-16208.31,-15.55
Argentina,70273.71,83780.64,-13506.93,-16.12
"North Macedonia, Republic of",10096.62,12097.01,-2000.39,-16.54
Australia,116354.33,141342.48,-24988.15,-17.68
Mauritius,15861.04,19669.51,-3808.47,-19.36
Hungary,108490.39,135146.72,-26656.33,-19.72
Libya,165286.02,212098.34,-46812.32,-22.07
"United Kingdom",337951.28,438349.21,-100397.93,-22.90
Sweden,114643.63,150310.74,-35667.11,-23.73
"Poland, Republic of",416626.15,583706.40,-167080.25,-28.62
Maldives,1411.08,2667.29,-1256.21,-47.10
"Türkiye, Republic of",112714.47,304340.45,-191625.98,-62.96
"Kazakhstan, Republic of",30052.83,134983.99,-104931.16,-77.74
Italy,181285.62,908714.96,-727429.34,-80.05
Suriname,0.00,3695.06,-3695.06,-100.00
Israel,0.00,457148.99,-457148.99,-100.00
Qatar,0.00,112352.97,-112352.97,-100.00
"United States",0.00,2896572.68,-2896572.68,-100.00
Denmark,0.00,251197.75,-251197.75,-100.00
Switzerland,0.00,2142782.42,-2142782.42,-100.00
"Dominican Republic",0.00,32332.28,-32332.28,-100.00
Ecuador,0.00,21008.00,-21008.00,-100.00
Nicaragua,0.00,18890.87,-18890.87,-100.00
"Saudi Arabia",0.00,1089598.63,-1089598.63,-100.00
Bangladesh,0.00,58977.90,-58977.90,-100.00
"Korea, Republic of",0.00,866994.38,-866994.38,-100.00
Morocco,0.00,97903.15,-97903.15,-100.00
Zimbabwe,0.00,2844.63,-2844.63,-100.00
Nigeria,0.00,97200.00,-97200.00,-100.00
"Belarus, Republic of",0.00,30507.48,-30507.48,-100.00
Algeria,0.00,132366.12,-132366.12,-100.00
Singapore,0.00,888201.94,-888201.94,-100.00
"Slovenia, Republic of",0.00,6934.14,-6934.14,-100.00
"Estonia, Republic of",0.00,4577.58,-4577.58,-100.00
"Lithuania, Republic of",0.00,14212.64,-14212.64,-100.00
"Latvia, Republic of",0.00,12249.93,-12249.93,-100.00
"Croatia, Republic of",0.00,8309.81,-8309.81,-100.00
"Slovak Republic",0.00,36041.84,-36041.84,-100.00
Cambodia,0.00,54910.24,-54910.24,-100.00
Philippines,0.00,212763.80,-212763.80,-100.00
India,0.00,1414183.42,-1414183.42,-100.00
Kenya,0.00,27530.35,-27530.35,-100.00
"Emerging and Developing Europe",0.00,2977879.84,-2977879.84,-100.00
"Macao Special Administrative Region, People's Republic of China",0.00,60081.91,-60081.91,-100.00
Cyprus,0.00,6115.90,-6115.90,-100.00
Spain,0.00,258244.10,-258244.10,-100.00
Portugal,0.00,144810.45,-144810.45,-100.00
Malta,0.00,3211.09,-3211.09,-100.00
Greece,0.00,49393.31,-49393.31,-100.00
Pakistan,0.00,54653.00,-54653.00,-100.00
Austria,0.00,111603.52,-111603.52,-100.00
"Advanced Economies",0.00,18504048.17,-18504048.17,-100.00
Ireland,0.00,27419.93,-27419.93,-100.00
Finland,0.00,44933.21,-44933.21,-100.00
"Netherlands, The",0.00,250175.34,-250175.34,-100.00
France,0.00,893982.02,-893982.02,-100.00
Guyana,0.00,2573.45,-2573.45,-100.00
"Egypt, Arab Republic of",0.00,100515.83,-100515.83,-100.00
Germany,0.00,1197698.40,-1197698.40,-100.00
"United Arab Emirates",0.00,554549.96,-554549.96,-100.00
Belgium,0.00,116000.08,-116000.08,-100.00
Bulgaria,0.00,18362.59,-18362.59,-100.00
Romania,0.00,184687.86,-184687.86,-100.00
Kuwait,0.00,103197.95,-103197.95,-100.00
"Middle East and Central Asia",0.00,3226126.65,-3226126.65,-100.00
"Bahrain, Kingdom of",0.00,13352.81,-13352.81,-100.00
Luxembourg,0.00,6101.62,-6101.62,-100.00
Samoa,0.00,1174.23,-1174.23,-100.00
Indonesia,0.00,296918.04,-296918.04,-100.00
Tonga,0.00,793.09,-793.09,-100.00
"Emerging Market and Developing Economies",0.00,19485137.24,-19485137.24,-100.00
"Emerging and Developing Asia",0.00,10661802.84,-10661802.84,-100.00
"Comoros, Union of the",0.00,829.12,-829.12,-100.00
World,0.00,37989185.41,-37989185.41,-100.00
"Advanced, Emerging and Developing Economies",0.00,37989185.41,-37989185.41,-100.00
"Serbia, Republic of",0.00,65439.24,-65439.24,-100.00
"Sub-Saharan Africa (SSA)",0.00,491959.37,-491959.37,-100.00
"Latin America and the Caribbean (LAC)",0.00,2127368.54,-2127368.54,-100.00
