COUNTRY,GOLD_PERCENTAGE,FOREX_PERCENTAGE,SDRs_PERCENTAGE,IMF_PERCENTAGE
"United States",41.71,51.27,5.93,1.08
Germany,41.56,53.15,4.51,0.78
France,40.50,54.54,4.18,0.78
Italy,40.08,56.11,3.23,0.58
Portugal,39.26,57.61,2.64,0.50
"Kazakhstan, Republic of",38.92,59.39,1.50,0.20
Austria,37.27,54.50,7.01,1.22
"Netherlands, The",36.37,54.98,7.43,1.22
Greece,34.51,57.86,6.05,1.58
"Türkiye, Republic of",33.85,63.64,2.46,0.05
Cyprus,33.70,54.90,9.52,1.89
Bulgaria,33.20,55.07,11.00,0.72
Belgium,29.12,56.21,12.74,1.93
"Belarus, Republic of",26.23,69.20,4.57,0.00
Zimbabwe,23.16,76.58,0.25,0.02
Algeria,19.48,76.77,3.24,0.51
"Egypt, Arab Republic of",19.14,79.95,0.54,0.37
"Emerging and Developing Europe",18.93,79.20,1.63,0.24
Ecuador,18.58,81.20,0.03,0.18
"Advanced Economies",17.88,78.40,3.15,0.57
Pakistan,17.61,82.17,0.22,0.00
Spain,16.20,77.02,5.51,1.27
Cambodia,15.27,84.04,0.64,0.05
Qatar,15.24,83.33,1.20,0.23
"Poland, Republic of",14.80,83.96,0.99,0.25
Finland,14.47,73.00,10.64,1.89
World,14.01,83.22,2.36,0.41
"Slovak Republic",13.06,81.03,4.92,0.98
"Advanced, Emerging and Developing Economies",12.82,87.18,0.00,0.00
Sweden,12.43,80.25,6.28,1.04
"Serbia, Republic of",12.20,87.68,0.02,0.10
Hungary,12.09,85.98,1.62,0.30
Kuwait,11.37,83.69,4.28,0.66
Argentina,10.95,89.01,0.05,0.00
"United Kingdom",10.52,78.89,8.95,1.65
Libya,10.27,87.35,2.12,0.26
"Middle East and Central Asia",10.11,87.83,1.78,0.28
Mauritius,9.38,88.86,1.50,0.25
Philippines,9.32,88.50,1.84,0.34
India,9.25,89.10,1.32,0.34
"Slovenia, Republic of",9.06,73.06,14.91,2.97
"North Macedonia, Republic of",8.47,91.53,0.00,0.00
Australia,8.40,79.75,10.14,1.72
Georgia,8.38,87.93,3.69,0.00
Romania,8.34,89.65,2.01,0.00
"Latvia, Republic of",8.07,86.38,4.90,0.65
"Emerging Market and Developing Economies",8.02,90.26,1.47,0.25
Switzerland,7.21,92.10,0.60,0.10
Ireland,6.52,67.71,21.39,4.38
"Sub-Saharan Africa (SSA)",6.44,88.62,4.48,0.47
Thailand,6.21,92.57,1.01,0.20
"Lithuania, Republic of",6.08,87.46,5.38,1.08
Luxembourg,5.45,53.07,33.86,7.62
"Emerging and Developing Asia",5.28,93.56,0.97,0.19
"Bahrain, Kingdom of",5.19,88.80,4.63,1.38
Suriname,4.88,92.41,2.64,0.07
"China, People's Republic of",4.57,94.54,0.74,0.15
Japan,4.56,92.84,2.20,0.40
"Saudi Arabia",4.40,93.35,1.93,0.31
Indonesia,4.36,92.75,2.53,0.36
Denmark,3.94,92.86,2.73,0.48
