COUNTRY,SDR_SHARE_2026_PCT,SDR_SHARE_2019_PCT,SDR_SHARE_CHANGE_PP,RANK_BY_SDR_GROWTH
"Croatia, Republic of",16.90,1.04,15.86,1
Luxembourg,33.86,18.57,15.29,2
Ireland,21.39,8.87,12.51,3
Bulgaria,11.00,1.53,9.47,4
"Estonia, Republic of",8.88,1.83,7.05,5
Australia,10.14,4.03,6.11,6
Greece,6.05,0.09,5.96,7
Cyprus,9.52,3.77,5.75,8
"United Kingdom",8.95,4.19,4.76,9
Malta,10.95,6.24,4.71,10
Canada,9.38,4.97,4.41,11
Sweden,6.28,2.49,3.79,12
"Lithuania, Republic of",5.38,1.80,3.58,13
"Bahrain, Kingdom of",4.63,1.35,3.27,14
Finland,10.64,7.43,3.21,15
"Latvia, Republic of",4.90,1.92,2.98,16
Spain,5.51,2.71,2.80,17
Belgium,12.74,10.11,2.63,18
Iceland,3.85,1.27,2.58,19
"Sub-Saharan Africa (SSA)",4.48,1.93,2.54,20
Norway,4.15,1.62,2.53,21
Algeria,3.24,0.77,2.47,22
"Comoros, Union of the",4.57,2.13,2.45,23
Brazil,2.68,0.53,2.15,24
Nigeria,4.38,2.29,2.09,25
Kuwait,4.28,2.27,2.01,26
Austria,7.01,5.04,1.97,27
Bangladesh,3.98,2.04,1.95,28
Mexico,3.03,1.13,1.90,29
Indonesia,2.53,0.64,1.89,30
Malaysia,2.33,0.56,1.77,31
"Türkiye, Republic of",2.46,0.70,1.75,32
"Latin America and the Caribbean (LAC)",2.59,0.92,1.68,33
"Advanced Economies",3.15,1.52,1.64,34
Hungary,1.62,0.00,1.62,35
Japan,2.20,0.73,1.46,36
Tonga,3.24,1.80,1.44,37
Ukraine,1.38,0.00,1.38,38
"Korea, Republic of",1.79,0.42,1.37,39
Denmark,2.73,1.44,1.28,40
"Slovak Republic",4.92,3.64,1.28,41
World,2.36,1.08,1.28,42
Portugal,2.64,1.37,1.26,43
India,1.32,0.18,1.14,44
"Saudi Arabia",1.93,0.80,1.13,45
Philippines,1.84,0.71,1.12,46
Panama,5.58,4.55,1.03,47
"Belarus, Republic of",4.57,3.60,0.97,48
"Emerging and Developing Europe",1.63,0.66,0.97,49
"Emerging Market and Developing Economies",1.47,0.51,0.96,50
Samoa,3.50,2.56,0.94,51
"New Zealand",4.17,3.24,0.94,52
"Middle East and Central Asia",1.78,0.86,0.92,53
"Costa Rica",1.53,0.71,0.82,54
"Poland, Republic of",0.99,0.18,0.80,55
"Czech Republic",1.00,0.22,0.78,56
Georgia,3.69,2.92,0.77,57
Libya,2.12,1.35,0.76,58
France,4.18,3.43,0.76,59
"Emerging and Developing Asia",0.97,0.23,0.73,60
Italy,3.23,2.53,0.70,61
Thailand,1.01,0.33,0.69,62
Qatar,1.20,0.57,0.63,63
"Kazakhstan, Republic of",1.50,0.91,0.59,64
"China, People's Republic of",0.74,0.17,0.57,65
Singapore,0.72,0.18,0.55,66
Mauritius,1.50,0.96,0.54,67
"United Arab Emirates",0.59,0.10,0.48,68
Morocco,2.06,1.59,0.47,69
"Slovenia, Republic of",14.91,14.47,0.44,70
Guatemala,1.08,0.66,0.42,71
Germany,4.51,4.16,0.36,72
Nicaragua,1.96,1.63,0.33,73
Switzerland,0.60,0.28,0.31,74
Israel,0.86,0.55,0.30,75
Romania,2.01,1.72,0.29,76
"United States",5.93,5.66,0.27,77
Cambodia,0.64,0.41,0.23,78
"Dominican Republic",0.10,0.05,0.06,79
Angola,1.08,1.04,0.05,80
Guyana,0.09,0.07,0.03,81
Ecuador,0.03,0.03,0.00,82
"Macao Special Administrative Region, People's Republic of China",0.00,0.00,0.00,83
"Advanced, Emerging and Developing Economies",0.00,0.00,0.00,83
"Serbia, Republic of",0.02,0.05,-0.03,85
"Armenia, Republic of",0.01,0.05,-0.04,86
"North Macedonia, Republic of",0.00,0.06,-0.06,87
"Egypt, Arab Republic of",0.54,0.61,-0.07,88
Kenya,0.41,0.50,-0.08,89
"Moldova, Republic of",0.01,0.18,-0.18,90
Maldives,0.01,0.22,-0.21,91
Suriname,2.64,3.01,-0.37,92
"El Salvador",2.12,3.00,-0.88,93
Pakistan,0.22,1.25,-1.04,94
"Netherlands, The",7.43,8.69,-1.26,95
Argentina,0.05,2.54,-2.49,96
Zimbabwe,0.24,7.89,-7.65,97
